UID,NAME_0,NAME_1,NAME_2,lon,lat
8187,United States,Minnesota,Pipestone,-96.25888834646447,44.02551882127342
8189,United States,Minnesota,Murray,-95.76355367061754,44.024137023460355
8190,United States,Minnesota,Steele,-93.22582044585249,44.02415428415782
8191,United States,Minnesota,Dodge,-92.8626794436943,44.02429686424479
8192,United States,South Dakota,Moody,-96.67080928079079,44.02266046512237
8193,United States,Minnesota,Waseca,-93.58672114821458,44.02391365411242
8194,United States,South Dakota,Sanborn,-98.09103440786754,44.02367566348835
8195,United States,Minnesota,Olmsted,-92.40295928773888,44.00625829731077
8196,United States,Minnesota,Cottonwood,-95.18154213032376,44.00902323577223
8197,United States,South Dakota,Lake,-97.12867972727196,44.02313993974635
8198,United States,South Dakota,Miner,-97.60938569635942,44.02290883946607
8199,United States,Minnesota,Winona,-91.78055402762641,43.98902745862965
8204,United States,Michigan,Mason,-86.24952714422881,43.99467171147531
8210,United States,Michigan,Lake,-85.80131307977982,43.989094926905906
8211,United States,Michigan,Osceola,-85.32569058846374,43.989218585729105
8212,United States,Michigan,Arenac,-83.89699846997046,44.06578807324313
8213,United States,Michigan,Clare,-84.84846857459627,43.98710200276562
8214,United States,Michigan,Gladwin,-84.3894860341009,43.99003572395983
8215,United States,Wisconsin,Monroe,-90.61793569204991,43.9453733095992
8221,United States,New York,Hamilton,-74.49961692326049,43.65963028634351
8223,United States,Minnesota,Watonwan,-94.6149681055278,43.97943551164855
8226,United States,New York,Herkimer,-74.96388925530498,43.41492849849023
8227,United States,Wisconsin,La Crosse,-91.1150133290445,43.906765919220554
8234,United States,Michigan,Huron,-83.02198245198089,43.83404681660216
8241,United States,Michigan,Bay,-83.99295896130522,43.70688332376004
8244,United States,Wisconsin,Green Lake,-89.04438968628418,43.80002910041332
8245,United States,Wisconsin,Marquette,-89.39804323664097,43.81945073668551
8248,United States,Vermont,Windsor,-72.58553448710002,43.57857514441323
8250,United States,Maine,Sagadahoc,-69.85902940172139,43.97073696102123
8251,United States,Maine,Cumberland,-70.40804653493512,43.84764284382553
8252,United States,Wisconsin,Fond du Lac,-88.48826010685029,43.75352504379
8257,United States,New York,Jefferson,-75.91334853779907,44.040725128559096
8259,United States,Wisconsin,Sheboygan,-87.94585581367689,43.72087535493989
8261,United States,Vermont,Rutland,-73.03854100925261,43.5793812503794
8265,United States,Minnesota,Rock,-96.25313836562218,43.67718657665827
8266,United States,Minnesota,Nobles,-95.75367833294412,43.677486217261745
8267,United States,Minnesota,Freeborn,-93.34897348243895,43.67685161144377
8268,United States,Minnesota,Mower,-92.7536244131216,43.67421617465666
8269,United States,Minnesota,Houston,-91.49265060121829,43.67377656267773
8270,United States,South Dakota,Hanson,-97.78583735427397,43.674350758796095
8271,United States,Minnesota,Fillmore,-92.09065737741638,43.67627250820729
8272,United States,Minnesota,Jackson,-95.1552661435059,43.6769179371849
8273,United States,Minnesota,Faribault,-93.9483704913628,43.67702872872264
8274,United States,South Dakota,Minnehaha,-96.79207560007353,43.67479319527501
8275,United States,Minnesota,Martin,-94.55228192037669,43.676402789614606
8276,United States,South Dakota,McCook,-97.36798138172333,43.6748952512735
8281,United States,Michigan,Midland,-84.38932380967836,43.6463185665012
8283,United States,Michigan,Oceana,-86.26671431639944,43.63993244950041
8284,United States,Michigan,Isabella,-84.8470996288362,43.64024893456173
8285,United States,Michigan,Mecosta,-85.32568759310857,43.63984795232295
8286,United States,Michigan,Newaygo,-85.80198624257116,43.552546236255736
8287,United States,New York,Washington,-73.435622516372,43.31428882250166
8288,United States,New York,Warren,-73.85261323994253,43.56099433438241
8293,United States,New Hampshire,Belknap,-71.42320795237482,43.51800860844943
8298,United States,Wisconsin,Vernon,-90.8339716449251,43.59368603358353
8299,United States,Michigan,Tuscola,-83.41824301917227,43.464370773171424
8302,United States,New York,Oswego,-76.14241644506106,43.426566744908506
8304,United States,Michigan,Sanilac,-82.82051150030591,43.42335654628087
8307,United States,Wisconsin,Columbia,-89.33435860704068,43.46709774795821
8308,United States,Wisconsin,Sauk,-89.94957644213264,43.42600784300131
8309,United States,Wisconsin,Dodge,-88.70726289594852,43.41676543893653
8312,United States,New York,Oneida,-75.43635988874848,43.24115886543647
8313,United States,New Hampshire,Merrimack,-71.6799999582054,43.296948609880545
8315,United States,New Hampshire,Sullivan,-72.22204144846906,43.36050586591816
8317,United States,Michigan,Saginaw,-84.05452505126962,43.334833401118175
8319,United States,Wisconsin,Richland,-90.43167923324236,43.374540562856694
8320,United States,Wisconsin,Ozaukee,-87.95069305410344,43.38496185618569
8321,United States,Wisconsin,Washington,-88.23055921980801,43.36953905686192
8324,United States,Iowa,Winnebago,-93.73361274400689,43.38062051004439
8325,United States,Iowa,Kossuth,-94.20701239446969,43.204755076844165
8327,United States,Iowa,Dickinson,-95.15005442613601,43.379592942115345
8328,United States,Iowa,Emmet,-94.678188558855,43.3797672455359
8329,United States,Iowa,Worth,-93.26055590849008,43.38002592901009
8330,United States,Iowa,Osceola,-95.62288107682495,43.380847375710076
8331,United States,Iowa,Mitchell,-92.78937339996588,43.35775192616892
8332,United States,Iowa,Lyon,-96.20848970867168,43.38240165582253
8333,United States,Iowa,Howard,-92.31778907855929,43.357578453497105
8334,United States,Iowa,Allamakee,-91.37810505651129,43.28493555368376
8335,United States,Iowa,Winneshiek,-91.84319112283728,43.29136908640473
8336,United States,South Dakota,Lincoln,-96.71972226865064,43.278929317291706
8337,United States,South Dakota,Turner,-97.14718253305236,43.31122336466525
8338,United States,South Dakota,Hutchinson,-97.75395442138904,43.33409890627363
8342,United States,Michigan,Muskegon,-86.14950039734725,43.29081600705943
8344,United States,Michigan,Montcalm,-85.1538644032246,43.31075424309745
8345,United States,Michigan,Gratiot,-84.60626408055334,43.29251066901365
8347,United States,Wisconsin,Crawford,-90.93262902035829,43.240224690726976
8351,United States,New York,Cayuga,-76.55356112606762,42.91514858381173
8352,United States,New York,Saratoga,-73.86648316442056,43.10716140919136
8355,United States,New York,Orleans,-78.23223784088587,43.25275646057124
8356,United States,New York,Niagara,-78.74236928699293,43.20178607286267
8357,United States,New York,Monroe,-77.6972186588086,43.14610844263635
8360,United States,New York,Wayne,-77.03054056839531,43.15556237998715
8361,United States,Michigan,Lapeer,-83.22137400869666,43.090360473087756
8363,United States,Vermont,Bennington,-73.09404596299086,43.03460349615028
8366,United States,Wisconsin,Dane,-89.41757278012703,43.06800671447065
8367,United States,Michigan,Kent,-85.55053001310289,43.03061866049767
8369,United States,New York,Fulton,-74.42543842053168,43.11334137205124
8371,United States,New York,Onondaga,-76.19445898335417,43.00670230914371
8373,United States,Vermont,Windham,-72.71402318984049,42.9898940573076
8374,United States,Iowa,Sioux,-96.17593211270187,43.08334345447184
8375,United States,Iowa,O'Brien,-95.62427007457102,43.08391251406679
